frame,frame,x,y,r,particle,neighbours
6,6,339.5,598.5,51.2,31,"[18, 23, 69, 54, 25]"
6,6,844.5,568.5,39.6,13,"[56, 66, 7, 30, 65]"
6,6,928.5,403.5,60.2,12,"[10, 1, 30, 7, 39]"
6,6,555.5,410.5,58.0,28,"[48, 51, 63, 53, 35, 29]"
6,6,520.5,307.5,58.0,63,"[28, 48, 60, 41, 53, 58]"
6,6,337.5,344.5,52.5,86,"[120, 61, 53, 41, 45]"
6,6,1028.5,415.5,45.7,39,"[7, 12]"
6,6,1010.5,777.5,46.3,75,"[56, 98]"
6,6,360.5,785.5,45.7,97,"[25, 46]"
6,6,838.5,776.5,52.5,91,"[44, 19, 66, 56, 98]"
6,6,233.5,616.5,56.9,18,"[54, 22, 31]"
6,6,729.5,354.5,62.4,38,"[1, 50, 48, 51, 55]"
6,6,369.5,439.5,49.0,120,"[54, 86, 53, 23, 35]"
6,6,1036.5,96.5,50.1,14,"[67, 68]"
6,6,674.5,456.5,60.2,51,"[28, 48, 38, 65, 29, 87]"
6,6,802.5,862.5,60.1,19,"[44, 91]"
6,6,185.5,436.5,44.6,21,"[54, 22, 61]"
6,6,389.5,526.5,53.5,23,"[54, 120, 31, 69, 35]"
6,6,185.5,530.5,44.4,22,"[54, 21, 18]"
6,6,847.5,473.5,45.7,30,"[13, 7, 12, 1, 65]"
6,6,193.5,101.5,62.4,83,"[34, 5]"
6,6,407.5,704.5,52.2,25,"[31, 97, 69, 46]"
6,6,195.5,225.5,50.0,34,"[83, 61, 45, 5]"
6,6,587.5,513.5,58.0,29,"[28, 51, 35, 6, 87]"
6,6,927.5,778.5,43.0,98,"[56, 75, 91]"
6,6,546.5,768.5,51.3,71,"[64, 46, 42]"
6,6,747.5,764.5,59.1,44,"[91, 19, 66, 89, 42]"
6,6,480.5,497.5,51.1,35,"[53, 28, 120, 23, 69, 6, 29]"
6,6,670.5,574.5,59.1,87,"[65, 66, 89, 51, 29, 6, 64]"
